Wavelength,Intensity,Absorbance,Reflectance
1078.4157913501454,85998,0.6378185,0.23024036
1082.1603232310886,85918,0.63720065,0.23056817
1085.9005664069637,85405,0.638541,0.22985768
1089.6365208777715,85544,0.6371071,0.23061785
1093.3681866435113,85251,0.63886756,0.2296849
1097.0955637041836,85268,0.6393317,0.22943956
1100.8186520597883,84830,0.6420612,0.22800209
1104.537451710325,84900,0.6424843,0.22778004
1108.2519626557942,84688,0.6449731,0.22647847
1111.9621848961956,84764,0.64508265,0.22642134
1115.6681184315294,84053,0.64978486,0.22398305
1120.6026918263133,83276,0.6557201,0.22094283
1124.2986183831558,82566,0.6611843,0.21818037
1127.9902562349305,81007,0.67070866,0.21344762
1131.6776053816375,78828,0.68387383,0.20707427
1135.3606658232768,74915,0.7069929,0.19633923
1139.0394375598485,72239,0.72427964,0.18867762
1142.7139205913522,68786,0.747063,0.17903464
1146.3841149177883,65389,0.77053434,0.16961555
1150.050020539157,62549,0.7915748,0.161594
1153.7116374554578,60219,0.8096564,0.15500426
1157.3689656666909,59617,0.8161853,0.15269144
1161.022005172856,58826,0.8243898,0.14983393
1164.6707559739539,58598,0.82856363,0.14840084
1168.315218069984,57656,0.83812207,0.14517035
1171.955391460946,57491,0.8423418,0.14376667
1176.8022846632348,57106,0.85043967,0.14111082
1180.432451075706,56293,0.8610448,0.13770674
1184.0583287831091,56603,0.863635,0.13688788
1187.6799177854446,56369,0.87105757,0.13456818
1191.2972180827126,56097,0.8794166,0.13200288
1194.9102296749127,55797,0.88865167,0.12922554
1198.5189525620451,55732,0.8956807,0.12715085
1202.12338674411,55711,0.9028814,0.12506005
1205.7235322211068,55730,0.9102382,0.12295941
1209.3193889930362,56236,0.9138221,0.12194889
1212.9109570598978,56455,0.91925186,0.12043373
1216.4982364216917,56853,0.9240453,0.11911177
1220.0812270784181,57043,0.93090814,0.117244326
1223.6599290300765,57663,0.93391496,0.11643539
1227.2343422766671,58003,0.9393771,0.11498015
1231.9935552864608,58216,0.94848937,0.11259281
1235.5579615545603,58986,0.9513887,0.11184364
1239.118079117592,59542,0.95508534,0.110895686
1242.6739079755562,60816,0.9531112,0.11140094
1246.2254481284526,60859,0.960525,0.10951536
1249.7726995762814,61685,0.9625072,0.10901665
1253.3156623190423,62766,0.9630161,0.10888898
1256.8543363567355,63532,0.96489173,0.10841971
1260.3887216893613,64247,0.9673475,0.107808374
1263.918818316919,64969,0.9698746,0.10718286
1267.4446262394092,65570,0.97263366,0.106504105
1270.9661454568318,66468,0.97388196,0.10619842
1274.4833759691865,67627,0.9731792,0.1063704
1277.9963177764735,68223,0.9766928,0.1055133
1281.5049708786928,68729,0.9816531,0.10431503
1286.176503695991,68663,0.9919139,0.10187933
1289.675149819719,69154,0.99609447,0.10090333
1293.1695072383795,68913,1.0039579,0.099092804
1296.659575951972,68775,1.0105681,0.09759597
1300.145355960497,68693,1.0164694,0.0962788
1303.6268472639542,67990,1.0264709,0.09408688
1307.1040498623438,66983,1.0373945,0.09174987
1310.5769637556657,66028,1.0468651,0.08977075
1314.0455889439197,64934,1.057602,0.08757858
1317.5099254271063,63488,1.0708045,0.08495628
1320.969973205225,62123,1.0831975,0.08256623
1324.425732278276,60532,1.0964196,0.080090396
1327.8772026462593,58726,1.1108549,0.077472076
1331.3243843091748,56903,1.1259612,0.07482363
1334.7672772670228,55736,1.1362247,0.07307608
1339.3511298918258,54372,1.1475526,0.071194656
1342.7840158711824,52397,1.1632494,0.0686674
1346.2126131454713,51050,1.1741923,0.06695881
1349.6369217146926,49164,1.1896513,0.06461729
1353.056941578846,47922,1.1987605,0.06327606
1356.4726727379316,46553,1.2095042,0.06172992
1359.8841151919498,45609,1.2163962,0.060758047
1363.2912689409002,44342,1.2264076,0.05937346
1366.6941339847829,42937,1.2373568,0.05789529
1370.0927103235977,41126,1.2529643,0.055851612
1373.486997957345,38459,1.2794834,0.052543208
1376.8769968860247,35810,1.3073753,0.049274776
1380.2627071096365,31976,1.3539326,0.04426571
1383.6441286281806,28770,1.3976779,0.04002415
1387.021261441657,25396,1.4506775,0.03542603
1391.5174338739648,22095,1.5096724,0.030926276
