Wavelength,Intensity,Absorbance,Reflectance
1428.404329,385,3.132046,0.000737826
1431.711093,866,2.781663,0.001653243
1435.013569,1117,2.672676,0.00212483
1439.4102,1049,2.702631,0.001983212
1442.702672,810,2.8165,0.001525809
1445.990855,484,3.041905,0.000908018
1449.274751,442,3.083014,0.000826011
1452.554359,689,2.891317,0.001284348
1455.829679,661,2.910417,0.001229088
1459.100711,918,2.768863,0.001702696
1462.367456,492,3.040304,0.000911373
1465.629913,823,2.817174,0.001523442
1468.888082,735,2.866328,0.001360416
1472.141963,650,2.919547,0.001203519
1475.391556,991,2.736072,0.001836236
1479.717678,943,2.756468,0.00175199
1482.957267,745,2.858068,0.001386539
1486.192567,1143,2.67131,0.002131524
1489.423581,1280,2.621343,0.002391424
1492.650306,950,2.749285,0.001781208
1495.872743,1149,2.665061,0.002162416
1499.090893,1274,2.618853,0.002405176
1502.304755,947,2.74555,0.001796596
1505.514329,1205,2.638328,0.002299706
1508.719616,1384,2.575605,0.002657022
1511.920615,1524,2.531022,0.002944273
1515.117326,1472,2.543156,0.00286315
1518.309749,1722,2.472283,0.003370674
1522.559643,1520,2.521951,0.003006418
1525.742061,1885,2.42448,0.003762881
1528.920192,1715,2.462162,0.003450149
1532.094034,2143,2.361781,0.004347297
1535.263589,2285,2.329373,0.004684114
1538.428857,2105,2.360196,0.004363192
1541.589836,2002,2.377467,0.004193074
1544.746528,2376,2.298062,0.005034282
1547.898932,2489,2.272505,0.005339426
1551.047048,2738,2.225642,0.005947816
1554.190876,2911,2.192961,0.006412671
1557.330416,2921,2.18519,0.006528454
1560.465669,3206,2.138494,0.007269528
1564.639336,3170,2.134431,0.007337861
1567.764584,3202,2.123374,0.007527069
1570.885544,3237,2.111432,0.007736912
1574.002217,3848,2.028934,0.009355474
1577.114601,3864,2.019949,0.009551046
1580.222698,3773,2.022982,0.00948457
1583.326507,3878,2.003021,0.00993068
1586.426029,4135,1.967177,0.010785081
1589.521262,4119,1.960853,0.010943262
1592.612208,4216,1.941833,0.011433189
1595.698866,3568,2.005753,0.009868403
1598.781236,4075,1.938963,0.011508991
1601.859318,4097,1.926722,0.011837995
1605.956758,4148,1.909373,0.012320451
1609.024836,4391,1.875068,0.013333131
1612.088626,4364,1.867094,0.013580208
1615.148128,4230,1.869932,0.013491747
1618.203342,4609,1.82253,0.015047683
1621.254268,4558,1.816885,0.015244555
1624.300907,4808,1.782424,0.016503508
1627.343258,4525,1.797382,0.015944776
1630.381321,4498,1.788602,0.016270397
1633.415096,4365,1.789553,0.016234793
1636.444584,4274,1.786835,0.016336734
1639.469784,4537,1.748798,0.017832087
1642.490696,4329,1.756808,0.017506187
1646.511909,4031,1.770088,0.016978994
1649.522816,3769,1.785949,0.016370088
1652.529435,3857,1.761506,0.017317864
1655.531767,4091,1.719661,0.019069505
1658.529811,3942,1.717374,0.019170168
1661.523567,3477,1.750242,0.017772893
1664.513035,3603,1.709965,0.019500024
1667.498216,3058,1.749583,0.017799871
1670.479108,2839,1.743168,0.018064738
1673.455713,2781,1.701229,0.019896262
1676.428031,2350,1.715085,0.019271457
1679.39606,2126,1.693663,0.020245884
1682.359802,1952,1.659529,0.021901332
1686.304787,1032,1.836237,0.014580184
1689.258524,1188,1.70171,0.019874197
1692.207973,972,1.71765,0.019157994
1695.153134,807,1.729855,0.018627089
1698.094008,1050,1.550182,0.028172037
1701.030594,913,1.542761,0.028657522
