Wavelength,Intensity,Absorbance,Reflectance
1124.2986183831558,98068,0.58645827,0.25914437
1127.9902562349305,96127,0.59638584,0.25328773
1131.6776053816375,93189,0.6111897,0.24479938
1135.3606658232768,89281,0.63080263,0.23399003
1139.0394375598485,84909,0.6540976,0.2217698
1142.7139205913522,80537,0.6785676,0.20961986
1146.3841149177883,76252,0.7037878,0.19779359
1150.050020539157,72648,0.72657144,0.18768455
1153.7116374554578,70255,0.7427127,0.18083702
1157.3689656666909,68245,0.75748456,0.17478953
1161.022005172856,67191,0.76664805,0.17114016
1164.6707559739539,66672,0.77250296,0.16884844
1168.315218069984,65810,0.7806747,0.16570106
1171.955391460946,65615,0.7849385,0.16408221
1176.8022846632348,65325,0.79204196,0.16142026
1180.432451075706,64894,0.79929465,0.15874693
1184.0583287831091,64643,0.80595297,0.1563317
1187.6799177854446,64314,0.8137924,0.15353507
1191.2972180827126,64008,0.822122,0.1506184
1194.9102296749127,63603,0.8317849,0.14730418
1198.5189525620451,63461,0.83927846,0.14478433
1202.12338674411,63716,0.84457386,0.14302967
1205.7235322211068,64057,0.84976065,0.14133161
1209.3193889930362,63927,0.8581522,0.13862698
1212.9109570598978,64451,0.8617246,0.13749136
1216.4982364216917,64843,0.8669356,0.13585149
1220.0812270784181,65200,0.87286294,0.13400996
1223.6599290300765,65959,0.8755382,0.13318701
1227.2343422766671,65985,0.8833824,0.13080297
1231.9935552864608,66524,0.89055336,0.12866092
1235.5579615545603,66895,0.896744,0.12683994
1239.118079117592,67468,0.90081096,0.1256577
1242.6739079755562,68616,0.9007036,0.12568875
1246.2254481284526,68777,0.90740657,0.12376375
1249.7726995762814,69426,0.9111646,0.12269741
1253.3156623190423,70838,0.91047424,0.1228926
1256.8543363567355,71336,0.9145755,0.121737525
1260.3887216893613,72485,0.9149522,0.12163199
1263.918818316919,72812,0.92037785,0.12012188
1267.4446262394092,73856,0.92095304,0.1199629
1270.9661454568318,74695,0.923203,0.11934301
1274.4833759691865,76273,0.92092854,0.11996967
1277.9963177764735,76774,0.92540944,0.11873823
1281.5049708786928,77507,0.92945224,0.117638044
1286.176503695991,78171,0.93559104,0.115986906
1289.675149819719,78315,0.94206685,0.11427025
1293.1695072383795,78680,0.9463947,0.11313717
1296.659575951972,78357,0.9539209,0.11119342
1300.145355960497,77774,0.96254736,0.10900656
1303.6268472639542,76940,0.9727638,0.106472194
1307.1040498623438,76186,0.981484,0.10435566
1310.5769637556657,75160,0.99060655,0.102186486
1314.0455889439197,73642,1.0029486,0.09932334
1317.5099254271063,71556,1.0188501,0.095752455
1320.969973205225,69628,1.033666,0.09254096
1324.425732278276,67238,1.0507898,0.08896316
1327.8772026462593,65126,1.0659308,0.08591503
1331.3243843091748,62615,1.0844179,0.08233453
1334.7672772670228,60486,1.1007057,0.07930385
1339.3511298918258,58213,1.1179079,0.07622406
1342.7840158711824,55516,1.1381377,0.07275491
1346.2126131454713,53692,1.1522784,0.07042414
1349.6369217146926,51279,1.171359,0.06739708
1353.056941578846,49338,1.186114,0.065145746
1356.4726727379316,47465,1.2010785,0.06293924
1359.8841151919498,46226,1.2105604,0.061579984
1363.2912689409002,44012,1.2296518,0.058931593
1366.6941339847829,42177,1.2451128,0.056870524
1370.0927103235977,39876,1.2663692,0.05415404
1373.486997957345,36771,1.298976,0.050237037
1376.8769968860247,33484,1.3365424,0.046074186
1380.2627071096365,29632,1.3869957,0.041020814
1383.6441286281806,25681,1.4470057,0.035726808
1387.021261441657,21653,1.5199248,0.03020475
